"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8726","IN-10: Admin > Clients > Buscar Cliente por Nombre de Compañía","chromium","Fri Nov 14 18:22:51 UTC 2025","passed","Fri Nov 14 18:23:00 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8716","IN-4: Admin > Clients > Verificar ordenamiento de la columna Contact Email","chromium","Fri Nov 14 18:24:16 UTC 2025","passed","Fri Nov 14 18:24:25 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8618","IN-6: Admin > Clients > Verificar ordenamiento de la columna Balance","chromium","Fri Nov 14 18:24:34 UTC 2025","passed","Fri Nov 14 18:24:43 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8783","IN-7: Admin > Clients > Verificar ordenamiento de la columna Paid to Date","chromium","Fri Nov 14 18:24:43 UTC 2025","passed","Fri Nov 14 18:24:51 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8833","IN-273: Admin > Clients > Verificar ordenamiento de la columna Last Login","chromium","Fri Nov 14 18:25:00 UTC 2025","passed","Fri Nov 14 18:25:09 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","23415","IN-193: Admin > Products > Crear Producto con los campos mínimos requeridos","chromium","Fri Nov 14 18:28:17 UTC 2025","failed","Fri Nov 14 18:28:41 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","8752","IN-5: Admin > Clients > Verificar ordenamiento de la columna ID Number","chromium","Fri Nov 14 18:24:25 UTC 2025","passed","Fri Nov 14 18:24:34 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","15435","IN-21: Admin > Clients > Actions > Verificar que archive un cliente","chromium","Fri Nov 14 18:23:07 UTC 2025","passed","Fri Nov 14 18:23:23 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","4304","IN-270: Verificar login con usuario correcto","chromium","Fri Nov 14 18:25:55 UTC 2025","passed","Fri Nov 14 18:25:59 UTC 2025","Login Tests","login/login.spec.ts","",""
"","13240","IN-146: Admin > Clients > Actions > Verificar que purge un cliente","chromium","Fri Nov 14 18:23:39 UTC 2025","passed","Fri Nov 14 18:23:53 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8755","IN-9: Admin > Clients > Verificar ordenamiento de la columna Website","chromium","Fri Nov 14 18:25:09 UTC 2025","passed","Fri Nov 14 18:25:18 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","23512","IN-193: Admin > Products > Crear Producto con los campos mínimos requeridos","chromium","Fri Nov 14 18:27:02 UTC 2025","failed","Fri Nov 14 18:27:25 UTC 2025","Products Principal Page Tests","products/createProducts.spec.ts","",""
"","5813","IN-2: Admin > Clients > Verificar que se muestren las columnas por defecto en la Tabla de Clientes","chromium","Fri Nov 14 18:23:01 UTC 2025","passed","Fri Nov 14 18:23:07 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8621","IN-3: Admin > Clients > Verificar ordenamiento de la columna Name","chromium","Fri Nov 14 18:24:08 UTC 2025","passed","Fri Nov 14 18:24:16 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","15208","IN-268: Admin > Clients > Actions > Verificar que la función ""Bulk Update"" realice una actualización masiva a la columna de los clientes seleccionados","chromium","Fri Nov 14 18:23:53 UTC 2025","passed","Fri Nov 14 18:24:08 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","15901","IN-19: Admin > Clients > Verificar que edite un nombre del cliente","chromium","Fri Nov 14 18:25:38 UTC 2025","passed","Fri Nov 14 18:25:54 UTC 2025","Clients Edit Tests","clients/editClients.spec.ts","",""
"","12184","IN-270: Verificar login con usuario incorrecto","chromium","Fri Nov 14 18:25:59 UTC 2025","passed","Fri Nov 14 18:26:11 UTC 2025","Login Tests","login/login.spec.ts","",""
"","23426","IN-195: Admin > Products > Verificar que edite un nombre del producto","chromium","Fri Nov 14 18:29:33 UTC 2025","failed","Fri Nov 14 18:29:57 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","4415","IN-187: Admin > Products > Verificar que se muestre la Tabla de Productos con las columnas por defecto","chromium","Fri Nov 14 18:29:58 UTC 2025","passed","Fri Nov 14 18:30:02 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","12594","IN-16: Admin > Clients > Crear Cliente con los campos minimos requeridos","chromium","Fri Nov 14 18:25:18 UTC 2025","passed","Fri Nov 14 18:25:31 UTC 2025","Clientes Principal Page Tests","clients/createClients.spec.ts","",""
"","8823","IN-272: Admin > Clients > Verificar ordenamiento de la columna Date Created","chromium","Fri Nov 14 18:24:51 UTC 2025","passed","Fri Nov 14 18:25:00 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","11661","IN-206: Admin > Products > Actions > Verificar que elimine un producto activo","chromium","Fri Nov 14 18:30:02 UTC 2025","passed","Fri Nov 14 18:30:14 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","16641","IN-145: Admin > Clients > Actions > Verificar que elimine un cliente activo","chromium","Fri Nov 14 18:23:23 UTC 2025","passed","Fri Nov 14 18:23:39 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
